江西IPTV,#genre#
江西卫视高清,http://192.168.0.1:4022/udp/239.252.220.63:5140
江西都市频道高清,http://192.168.0.1:4022/udp/239.252.220.238:5140
江西经济生活高清,http://192.168.0.1:4022/udp/239.252.219.173:5140
江西影视旅游高清,http://192.168.0.1:4022/udp/239.252.220.242:5140
江西公共农业高清,http://192.168.0.1:4022/udp/239.252.220.102:5140
江西少儿频道高清,http://192.168.0.1:4022/udp/239.252.219.113:5140
江西新闻频道高清,http://192.168.0.1:4022/udp/239.252.220.100:5140
江西移动电视高清,http://192.168.0.1:4022/udp/239.252.220.241:5140
江西教育频道高清,http://192.168.0.1:4022/udp/239.252.219.115:5140
江西风尚购物高清,http://192.168.0.1:4022/udp/239.252.219.101:5140
南昌实验小学电视台高清,http://192.168.0.1:4022/udp/239.252.220.12:5140
爱上4K,http://192.168.0.1:4022/udp/239.252.220.212:5140
昌飞航空,http://192.168.0.1:4022/udp/239.252.220.47:5140
江西IPTV信号测试,http://192.168.0.1:4022/udp/239.252.219.187:5140
江西IPTV信号测试2,http://192.168.0.1:4022/udp/239.252.219.188:5140
江西党建,http://192.168.0.1:4022/udp/239.252.220.60:5140
九江党建,http://192.168.0.1:4022/udp/239.252.220.51:5140
江西会议电视,http://192.168.0.1:4022/udp/239.252.220.47:5140
会议电视,http://192.168.0.1:4022/udp/239.252.220.50:5140
上饶逸夫小学电视台,http://192.168.0.1:4022/udp/239.252.220.32:5140
瑞金新闻回看,http://192.168.0.1:4022/udp/239.252.220.20:5140
大余新闻回看,http://192.168.0.1:4022/udp/239.252.220.23:5140
三中新闻回看,http://192.168.0.1:4022/udp/239.252.220.52:5140
九江学校直播,http://192.168.0.1:4022/udp/239.252.220.29:5140
九江广播,http://192.168.0.1:4022/udp/239.252.220.58:5140
九江应急广播,http://192.168.0.1:4022/udp/239.252.220.18:5140
中央IPTV,#genre#
CCTV-1高清,http://192.168.0.1:4022/udp/239.252.219.200:5140
CCTV-1高清,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?$1080P
CCTV-2高清,http://192.168.0.1:4022/udp/239.252.220.183:5140
CCTV-3高清,http://192.168.0.1:4022/udp/239.252.219.252:5140
CCTV-3高清,http://192.168.0.1:4022/udp/239.252.220.193:5140
CCTV-4高清,http://192.168.0.1:4022/udp/239.252.220.184:5140
CCTV-5高清,http://192.168.0.1:4022/udp/239.252.219.198:5140
